"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.sta000--1.0.0-B/Packet Loss Percent",
"2022-05-12T07:17:13.452 UTC",0,"2022-05-12T07:17:13.452 UTC",0,"2022-05-12T07:18:42.907 UTC",0,"2022-05-12T07:18:42.907 UTC",0,
"2022-05-12T07:17:14.826 UTC",0,"2022-05-12T07:17:14.826 UTC",0,"2022-05-12T07:18:44.078 UTC",0,"2022-05-12T07:18:44.078 UTC",0,
"2022-05-12T07:17:16.043 UTC",0,"2022-05-12T07:17:16.043 UTC",0,"2022-05-12T07:18:45.273 UTC",0,"2022-05-12T07:18:45.273 UTC",0,
"2022-05-12T07:17:17.651 UTC",0,"2022-05-12T07:17:17.651 UTC",0,"2022-05-12T07:18:46.427 UTC",0,"2022-05-12T07:18:46.427 UTC",0,
"2022-05-12T07:17:19.349 UTC",0,"2022-05-12T07:17:19.349 UTC",0,"2022-05-12T07:18:47.738 UTC",0,"2022-05-12T07:18:47.738 UTC",0,
"2022-05-12T07:17:20.843 UTC",0,"2022-05-12T07:17:20.843 UTC",0,"2022-05-12T07:18:48.884 UTC",0,"2022-05-12T07:18:48.884 UTC",0,
"2022-05-12T07:17:22.025 UTC",0,"2022-05-12T07:17:22.025 UTC",0,"2022-05-12T07:18:50.105 UTC",0,"2022-05-12T07:18:50.105 UTC",0,
"2022-05-12T07:17:23.375 UTC",0,"2022-05-12T07:17:23.375 UTC",0,"2022-05-12T07:18:51.615 UTC",0,"2022-05-12T07:18:51.615 UTC",0,
"2022-05-12T07:17:24.579 UTC",0,"2022-05-12T07:17:24.579 UTC",0,"2022-05-12T07:18:52.919 UTC",0,"2022-05-12T07:18:52.919 UTC",0,
"2022-05-12T07:17:25.796 UTC",0,"2022-05-12T07:17:25.796 UTC",0,"2022-05-12T07:18:54.121 UTC",0,"2022-05-12T07:18:54.121 UTC",0,
"2022-05-12T07:17:26.953 UTC",0,"2022-05-12T07:17:26.953 UTC",0,"2022-05-12T07:18:55.267 UTC",0,"2022-05-12T07:18:55.267 UTC",0,
"2022-05-12T07:17:28.148 UTC",0,"2022-05-12T07:17:28.148 UTC",0,"2022-05-12T07:18:56.871 UTC",0,"2022-05-12T07:18:56.871 UTC",0,
"2022-05-12T07:17:29.369 UTC",0,"2022-05-12T07:17:29.369 UTC",0,"2022-05-12T07:18:58.175 UTC",0,"2022-05-12T07:18:58.175 UTC",0,
"2022-05-12T07:17:30.779 UTC",0,"2022-05-12T07:17:30.779 UTC",0,"2022-05-12T07:18:59.334 UTC",0,"2022-05-12T07:18:59.334 UTC",0,
"2022-05-12T07:17:32.065 UTC",0,"2022-05-12T07:17:35.724 UTC",0,"2022-05-12T07:19:00.496 UTC",0,"2022-05-12T07:19:00.496 UTC",0,
"2022-05-12T07:17:35.724 UTC",0,"2022-05-12T07:17:37.054 UTC",0,"2022-05-12T07:19:03.482 UTC",0,"2022-05-12T07:19:03.482 UTC",0,
"2022-05-12T07:17:37.054 UTC",0,"2022-05-12T07:17:38.210 UTC",0,"2022-05-12T07:19:04.644 UTC",0,"2022-05-12T07:19:04.644 UTC",0,
"2022-05-12T07:17:38.210 UTC",0,"2022-05-12T07:17:39.851 UTC",0,"2022-05-12T07:19:05.817 UTC",0,"2022-05-12T07:19:05.817 UTC",0,
"2022-05-12T07:17:39.851 UTC",0,"2022-05-12T07:17:41.594 UTC",0,"2022-05-12T07:19:07.870 UTC",0,"2022-05-12T07:19:07.870 UTC",0,
"2022-05-12T07:17:41.594 UTC",0,"2022-05-12T07:17:42.867 UTC",0,"2022-05-12T07:19:09.353 UTC",0,"2022-05-12T07:19:09.353 UTC",0,
"2022-05-12T07:17:42.867 UTC",0,"2022-05-12T07:17:44.168 UTC",0,"2022-05-12T07:19:10.504 UTC",0,"2022-05-12T07:19:10.504 UTC",0,
"2022-05-12T07:17:44.168 UTC",0,"2022-05-12T07:17:45.716 UTC",0,"2022-05-12T07:19:11.774 UTC",0,"2022-05-12T07:19:11.774 UTC",0,
"2022-05-12T07:17:45.716 UTC",0,"2022-05-12T07:17:47.113 UTC",0,"2022-05-12T07:19:13.388 UTC",0,"2022-05-12T07:19:13.388 UTC",0,
"2022-05-12T07:17:47.113 UTC",0,"2022-05-12T07:17:48.331 UTC",0,"2022-05-12T07:19:14.776 UTC",0,"2022-05-12T07:19:14.776 UTC",0,
"2022-05-12T07:17:48.331 UTC",0,"2022-05-12T07:17:49.545 UTC",0,"2022-05-12T07:19:16.017 UTC",0,"2022-05-12T07:19:16.017 UTC",0,
"2022-05-12T07:17:49.545 UTC",0,"2022-05-12T07:17:51.081 UTC",0,"2022-05-12T07:19:17.235 UTC",0,"2022-05-12T07:19:17.235 UTC",0,
"2022-05-12T07:17:51.081 UTC",0,"2022-05-12T07:17:52.390 UTC",0.11519,"2022-05-12T07:19:18.798 UTC",0,"2022-05-12T07:19:18.798 UTC",0,
"2022-05-12T07:17:52.390 UTC",0,"2022-05-12T07:17:59.976 UTC",0,"2022-05-12T07:19:20.066 UTC",0,"2022-05-12T07:19:20.066 UTC",0,
"2022-05-12T07:17:59.976 UTC",0,"2022-05-12T07:18:01.158 UTC",0,"2022-05-12T07:19:21.220 UTC",0,"2022-05-12T07:19:21.220 UTC",0,
"2022-05-12T07:18:01.158 UTC",0,"2022-05-12T07:18:02.631 UTC",0,"2022-05-12T07:20:06.472 UTC",0,"2022-05-12T07:19:22.449 UTC",0,
"2022-05-12T07:18:02.631 UTC",0,"2022-05-12T07:18:04.069 UTC",0,"2022-05-12T07:20:08.344 UTC",0,"2022-05-12T07:20:06.472 UTC",0,
"2022-05-12T07:18:04.069 UTC",0,"2022-05-12T07:18:05.318 UTC",0,"2022-05-12T07:20:09.594 UTC",0,"2022-05-12T07:20:08.344 UTC",0,
"2022-05-12T07:18:05.318 UTC",0,"2022-05-12T07:18:06.558 UTC",0,"2022-05-12T07:20:10.762 UTC",0,"2022-05-12T07:20:09.594 UTC",0,
"2022-05-12T07:18:06.558 UTC",0,"2022-05-12T07:18:08.096 UTC",0,"2022-05-12T07:20:12.593 UTC",0,"2022-05-12T07:20:10.762 UTC",0,
"2022-05-12T07:18:08.096 UTC",0,"2022-05-12T07:18:09.466 UTC",0,"2022-05-12T07:20:13.881 UTC",0,"2022-05-12T07:20:12.593 UTC",0,
"2022-05-12T07:18:09.466 UTC",0,"2022-05-12T07:18:10.745 UTC",0,"2022-05-12T07:20:15.082 UTC",0,"2022-05-12T07:20:13.881 UTC",0,
"2022-05-12T07:18:10.745 UTC",0,"2022-05-12T07:18:11.887 UTC",0,"2022-05-12T07:20:16.237 UTC",0,"2022-05-12T07:20:15.082 UTC",0,
"2022-05-12T07:18:11.887 UTC",0,"2022-05-12T07:18:13.475 UTC",0,"2022-05-12T07:20:17.869 UTC",0,"2022-05-12T07:20:16.237 UTC",0,
"2022-05-12T07:18:13.475 UTC",0,"2022-05-12T07:18:14.747 UTC",0,"2022-05-12T07:20:19.127 UTC",0,"2022-05-12T07:20:17.869 UTC",0,
"2022-05-12T07:18:14.747 UTC",0,"2022-05-12T07:18:15.987 UTC",0,"2022-05-12T07:20:20.285 UTC",0,"2022-05-12T07:20:19.127 UTC",0,
"2022-05-12T07:18:15.987 UTC",0,"2022-05-12T07:18:20.452 UTC",0,"2022-05-12T07:20:21.483 UTC",0,"2022-05-12T07:20:20.285 UTC",0,
"2022-05-12T07:18:17.193 UTC",0,"2022-05-12T07:18:21.738 UTC",0,"2022-05-12T07:20:23.105 UTC",0,"2022-05-12T07:20:21.483 UTC",0,
"2022-05-12T07:18:20.452 UTC",0,"2022-05-12T07:18:23.063 UTC",0.13923,"2022-05-12T07:20:24.571 UTC",0,"2022-05-12T07:20:23.105 UTC",0,
"2022-05-12T07:18:21.738 UTC",0,"2022-05-12T07:18:24.746 UTC",0.07616,"2022-05-12T07:20:25.786 UTC",0,"2022-05-12T07:20:24.571 UTC",0,
"2022-05-12T07:18:23.063 UTC",0,"2022-05-12T07:18:26.105 UTC",0,"2022-05-12T07:20:27.308 UTC",0,"2022-05-12T07:20:27.308 UTC",0,
"2022-05-12T07:18:24.746 UTC",0,"2022-05-12T07:18:27.423 UTC",0,"2022-05-12T07:20:28.636 UTC",0,"2022-05-12T07:20:28.636 UTC",0,
"2022-05-12T07:18:26.105 UTC",0,"2022-05-12T07:18:28.609 UTC",0,"2022-05-12T07:20:30.022 UTC",0,"2022-05-12T07:20:30.022 UTC",0,
"2022-05-12T07:18:27.423 UTC",0,"2022-05-12T07:18:30.082 UTC",0,"2022-05-12T07:20:31.182 UTC",0,"2022-05-12T07:20:31.182 UTC",0,
"2022-05-12T07:18:28.609 UTC",0,"2022-05-12T07:18:31.341 UTC",0,"2022-05-12T07:20:32.362 UTC",0,"2022-05-12T07:20:32.362 UTC",0,
"2022-05-12T07:18:30.082 UTC",0,"2022-05-12T07:18:32.561 UTC",0,"2022-05-12T07:20:34.005 UTC",0,"2022-05-12T07:20:34.005 UTC",0,
"2022-05-12T07:18:31.341 UTC",0,"2022-05-12T07:18:33.741 UTC",0,"2022-05-12T07:20:35.353 UTC",0,"2022-05-12T07:20:35.353 UTC",0,
"2022-05-12T07:18:32.561 UTC",0,"2022-05-12T07:18:35.330 UTC",0.00353,"2022-05-12T07:20:36.571 UTC",0,"2022-05-12T07:20:36.571 UTC",0,
"2022-05-12T07:18:33.741 UTC",0,"2022-05-12T07:18:36.661 UTC",0.00373,"2022-05-12T07:20:37.803 UTC",0,"2022-05-12T07:20:37.803 UTC",0,
"2022-05-12T07:18:35.330 UTC",0,"2022-05-12T07:18:37.893 UTC",0.00372,"2022-05-12T07:20:39.448 UTC",0,"2022-05-12T07:20:39.448 UTC",0,
"2022-05-12T07:18:36.661 UTC",0,"2022-05-12T07:18:39.137 UTC",0,"2022-05-12T07:20:40.766 UTC",0,"2022-05-12T07:20:40.766 UTC",0,
"2022-05-12T07:18:37.893 UTC",0,"2022-05-12T07:18:40.475 UTC",0,"2022-05-12T07:20:41.914 UTC",0,"2022-05-12T07:20:41.914 UTC",0,
"2022-05-12T07:18:39.137 UTC",0,"2022-05-12T07:19:25.225 UTC",0,"2022-05-12T07:20:43.148 UTC",0,"2022-05-12T07:20:43.148 UTC",0,
"2022-05-12T07:19:25.225 UTC",0,"2022-05-12T07:19:26.412 UTC",0,"2022-05-12T07:20:44.997 UTC",0,"2022-05-12T07:20:44.997 UTC",0,
"2022-05-12T07:19:26.412 UTC",0,"2022-05-12T07:19:27.584 UTC",0,"2022-05-12T07:21:27.771 UTC",0,"2022-05-12T07:21:27.771 UTC",0,
"2022-05-12T07:19:27.584 UTC",0,"2022-05-12T07:19:29.471 UTC",0,"2022-05-12T07:21:29.279 UTC",0,"2022-05-12T07:21:29.279 UTC",0,
"2022-05-12T07:19:29.471 UTC",0,"2022-05-12T07:19:30.818 UTC",0,"2022-05-12T07:21:30.450 UTC",0,"2022-05-12T07:21:30.450 UTC",0,
"2022-05-12T07:19:30.818 UTC",0,"2022-05-12T07:19:32.037 UTC",0,"2022-05-12T07:21:31.638 UTC",0,"2022-05-12T07:21:31.638 UTC",0,
"2022-05-12T07:19:32.037 UTC",0,"2022-05-12T07:19:33.254 UTC",0,"2022-05-12T07:21:33.148 UTC",0,"2022-05-12T07:21:33.148 UTC",0,
"2022-05-12T07:19:33.254 UTC",0,"2022-05-12T07:19:34.681 UTC",0,"2022-05-12T07:21:34.467 UTC",0,"2022-05-12T07:21:34.467 UTC",0,
"2022-05-12T07:19:34.681 UTC",0,"2022-05-12T07:19:35.952 UTC",0,"2022-05-12T07:21:35.638 UTC",0,"2022-05-12T07:21:35.638 UTC",0,
"2022-05-12T07:19:35.952 UTC",0,"2022-05-12T07:19:37.221 UTC",0,"2022-05-12T07:21:36.850 UTC",0,"2022-05-12T07:21:36.850 UTC",0,
"2022-05-12T07:19:37.221 UTC",0,"2022-05-12T07:19:38.491 UTC",0,"2022-05-12T07:21:38.524 UTC",0,"2022-05-12T07:21:38.524 UTC",0,
"2022-05-12T07:19:38.491 UTC",0,"2022-05-12T07:19:39.972 UTC",0,"2022-05-12T07:21:39.819 UTC",0,"2022-05-12T07:21:39.819 UTC",0,
"2022-05-12T07:19:39.972 UTC",0,"2022-05-12T07:19:41.283 UTC",0,"2022-05-12T07:21:42.310 UTC",0,"2022-05-12T07:21:42.310 UTC",0,
"2022-05-12T07:19:41.283 UTC",0,"2022-05-12T07:19:45.650 UTC",0,"2022-05-12T07:21:43.466 UTC",0,"2022-05-12T07:21:43.466 UTC",0,
"2022-05-12T07:19:42.447 UTC",0,"2022-05-12T07:19:47.209 UTC",0,"2022-05-12T07:21:45.308 UTC",0,"2022-05-12T07:21:45.308 UTC",0,
"2022-05-12T07:19:45.650 UTC",0,"2022-05-12T07:19:48.364 UTC",0,"2022-05-12T07:21:48.803 UTC",0,"2022-05-12T07:21:48.803 UTC",0,
"2022-05-12T07:19:47.209 UTC",0,"2022-05-12T07:19:49.503 UTC",0,"2022-05-12T07:21:50.620 UTC",0,"2022-05-12T07:21:50.620 UTC",0,
"2022-05-12T07:19:48.364 UTC",0,"2022-05-12T07:19:51.093 UTC",0,"2022-05-12T07:21:52.140 UTC",0,"2022-05-12T07:21:52.140 UTC",0,
"2022-05-12T07:19:49.503 UTC",0,"2022-05-12T07:19:52.412 UTC",0.04943,"2022-05-12T07:21:53.413 UTC",0,"2022-05-12T07:21:53.413 UTC",0,
"2022-05-12T07:19:51.093 UTC",0,"2022-05-12T07:19:53.568 UTC",0.05372,"2022-05-12T07:21:54.603 UTC",0,"2022-05-12T07:21:54.603 UTC",0,
"2022-05-12T07:19:52.412 UTC",0,"2022-05-12T07:19:54.731 UTC",0.05831,"2022-05-12T07:21:56.127 UTC",0,"2022-05-12T07:21:56.127 UTC",0,
"2022-05-12T07:19:53.568 UTC",0,"2022-05-12T07:19:56.438 UTC",0,"2022-05-12T07:21:57.454 UTC",0,"2022-05-12T07:21:57.454 UTC",0,
"2022-05-12T07:19:54.731 UTC",0,"2022-05-12T07:19:57.747 UTC",0,"2022-05-12T07:21:58.728 UTC",0,"2022-05-12T07:21:58.728 UTC",0,
"2022-05-12T07:19:56.438 UTC",0,"2022-05-12T07:19:59.017 UTC",0,"2022-05-12T07:21:59.961 UTC",0,"2022-05-12T07:21:59.961 UTC",0,
"2022-05-12T07:19:57.747 UTC",0,"2022-05-12T07:20:00.206 UTC",0,"2022-05-12T07:22:01.488 UTC",0,"2022-05-12T07:22:01.488 UTC",0,
"2022-05-12T07:19:59.017 UTC",0,"2022-05-12T07:20:01.879 UTC",0,"2022-05-12T07:22:02.772 UTC",0,"2022-05-12T07:22:02.772 UTC",0,
"2022-05-12T07:20:00.206 UTC",0,"2022-05-12T07:20:03.201 UTC",0,"2022-05-12T07:22:04.047 UTC",0,"2022-05-12T07:22:04.047 UTC",0,
"2022-05-12T07:20:01.879 UTC",0,"2022-05-12T07:20:04.363 UTC",0,"2022-05-12T07:22:05.213 UTC",0,"2022-05-12T07:22:05.213 UTC",0,
"2022-05-12T07:20:03.201 UTC",0,"2022-05-12T07:20:47.801 UTC",0,"2022-05-12T07:22:06.592 UTC",0,"2022-05-12T07:22:06.592 UTC",0,
"2022-05-12T07:20:47.801 UTC",0,"2022-05-12T07:20:49.080 UTC",0,"2022-05-12T07:22:50.515 UTC",0,"2022-05-12T07:22:50.515 UTC",0,
"2022-05-12T07:20:49.080 UTC",0,"2022-05-12T07:20:50.472 UTC",0,"2022-05-12T07:22:51.929 UTC",0,"2022-05-12T07:22:51.929 UTC",0,
"2022-05-12T07:20:50.472 UTC",0,"2022-05-12T07:20:51.883 UTC",0,"2022-05-12T07:22:53.120 UTC",0,"2022-05-12T07:22:53.120 UTC",0,
"2022-05-12T07:20:51.883 UTC",0,"2022-05-12T07:20:53.041 UTC",0,"2022-05-12T07:22:54.305 UTC",0,"2022-05-12T07:22:54.305 UTC",0,
"2022-05-12T07:20:53.041 UTC",0,"2022-05-12T07:20:54.193 UTC",0,"2022-05-12T07:22:55.950 UTC",0,"2022-05-12T07:22:55.950 UTC",0,
"2022-05-12T07:20:54.193 UTC",1.53302,"2022-05-12T07:20:55.812 UTC",0,"2022-05-12T07:22:57.343 UTC",0,"2022-05-12T07:22:57.343 UTC",0,
