"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2022-05-12T07:16:55.918 UTC",0,"2022-05-12T07:16:55.918 UTC",0,"2022-05-12T07:16:55.918 UTC",0,
"2022-05-12T07:16:57.275 UTC",0,"2022-05-12T07:16:57.275 UTC",0,"2022-05-12T07:16:57.275 UTC",0,
"2022-05-12T07:16:58.687 UTC",0,"2022-05-12T07:16:58.687 UTC",0,"2022-05-12T07:16:58.687 UTC",0,
"2022-05-12T07:17:00.662 UTC",0,"2022-05-12T07:17:00.662 UTC",0,"2022-05-12T07:17:00.662 UTC",0,
"2022-05-12T07:17:01.971 UTC",0,"2022-05-12T07:17:01.971 UTC",0,"2022-05-12T07:17:01.971 UTC",0,
"2022-05-12T07:17:03.156 UTC",0,"2022-05-12T07:17:03.156 UTC",0,"2022-05-12T07:17:03.156 UTC",0,
"2022-05-12T07:17:04.338 UTC",0,"2022-05-12T07:17:04.338 UTC",0,"2022-05-12T07:17:04.338 UTC",0,
"2022-05-12T07:17:05.975 UTC",0,"2022-05-12T07:17:05.975 UTC",0,"2022-05-12T07:17:05.975 UTC",0,
"2022-05-12T07:17:07.262 UTC",0,"2022-05-12T07:17:07.262 UTC",0,"2022-05-12T07:17:07.262 UTC",0,
"2022-05-12T07:17:08.437 UTC",0,"2022-05-12T07:17:08.437 UTC",0,"2022-05-12T07:17:08.437 UTC",0,
"2022-05-12T07:17:09.669 UTC",0,"2022-05-12T07:17:09.669 UTC",0,"2022-05-12T07:17:09.669 UTC",0,
"2022-05-12T07:17:12.240 UTC",0,"2022-05-12T07:17:12.240 UTC",0,"2022-05-12T07:17:12.240 UTC",0,
"2022-05-12T07:17:13.521 UTC",0,"2022-05-12T07:17:13.521 UTC",0,"2022-05-12T07:17:13.521 UTC",0,
"2022-05-12T07:17:14.838 UTC",0,"2022-05-12T07:17:14.838 UTC",0.416,"2022-05-12T07:17:14.838 UTC",0.416,
"2022-05-12T07:17:16.069 UTC",0,"2022-05-12T07:17:16.069 UTC",3.1287,"2022-05-12T07:17:16.069 UTC",3.1287,
"2022-05-12T07:17:17.974 UTC",0,"2022-05-12T07:17:17.974 UTC",3.83063,"2022-05-12T07:17:17.974 UTC",3.83063,
"2022-05-12T07:17:19.368 UTC",0,"2022-05-12T07:17:19.368 UTC",3.8097,"2022-05-12T07:17:19.368 UTC",3.8097,
"2022-05-12T07:17:20.852 UTC",0,"2022-05-12T07:17:20.852 UTC",3.77589,"2022-05-12T07:17:20.852 UTC",3.77589,
"2022-05-12T07:17:22.105 UTC",0,"2022-05-12T07:17:22.105 UTC",4.14548,"2022-05-12T07:17:22.105 UTC",4.14548,
"2022-05-12T07:17:23.396 UTC",0,"2022-05-12T07:17:23.396 UTC",4.31431,"2022-05-12T07:17:23.396 UTC",4.31431,
"2022-05-12T07:17:24.625 UTC",0,"2022-05-12T07:17:24.625 UTC",4.03026,"2022-05-12T07:17:24.625 UTC",4.03026,
"2022-05-12T07:17:25.804 UTC",0,"2022-05-12T07:17:25.804 UTC",4.00521,"2022-05-12T07:17:25.804 UTC",4.00521,
"2022-05-12T07:17:26.958 UTC",0,"2022-05-12T07:17:26.958 UTC",3.80259,"2022-05-12T07:17:26.958 UTC",3.80259,
"2022-05-12T07:17:28.172 UTC",0,"2022-05-12T07:17:28.172 UTC",3.08853,"2022-05-12T07:17:28.172 UTC",3.08853,
"2022-05-12T07:17:29.459 UTC",0,"2022-05-12T07:17:29.459 UTC",3.29361,"2022-05-12T07:17:29.459 UTC",3.29361,
"2022-05-12T07:17:30.826 UTC",0,"2022-05-12T07:17:30.826 UTC",3.46016,"2022-05-12T07:17:30.826 UTC",3.46016,
"2022-05-12T07:17:34.408 UTC",0,"2022-05-12T07:17:34.408 UTC",3.21183,"2022-05-12T07:17:34.408 UTC",3.21183,
"2022-05-12T07:17:35.835 UTC",0,"2022-05-12T07:17:35.835 UTC",0,"2022-05-12T07:17:35.835 UTC",0,
"2022-05-12T07:17:37.058 UTC",2.11656,"2022-05-12T07:17:37.058 UTC",0,"2022-05-12T07:17:37.058 UTC",2.11656,
"2022-05-12T07:17:38.279 UTC",2.10583,"2022-05-12T07:17:38.279 UTC",0,"2022-05-12T07:17:38.279 UTC",2.10583,
"2022-05-12T07:17:40.375 UTC",2.10583,"2022-05-12T07:17:40.375 UTC",0,"2022-05-12T07:17:40.375 UTC",2.10583,
"2022-05-12T07:17:41.617 UTC",1.75679,"2022-05-12T07:17:41.617 UTC",0,"2022-05-12T07:17:41.617 UTC",1.75679,
"2022-05-12T07:17:42.874 UTC",2.03162,"2022-05-12T07:17:42.874 UTC",0,"2022-05-12T07:17:42.874 UTC",2.03162,
"2022-05-12T07:17:44.180 UTC",2.08713,"2022-05-12T07:17:44.180 UTC",0,"2022-05-12T07:17:44.180 UTC",2.08713,
"2022-05-12T07:17:45.886 UTC",2.08713,"2022-05-12T07:17:45.886 UTC",0,"2022-05-12T07:17:45.886 UTC",2.08713,
"2022-05-12T07:17:47.165 UTC",2.17336,"2022-05-12T07:17:47.165 UTC",0,"2022-05-12T07:17:47.165 UTC",2.17336,
"2022-05-12T07:17:48.336 UTC",2.15213,"2022-05-12T07:17:48.336 UTC",0,"2022-05-12T07:17:48.336 UTC",2.15213,
"2022-05-12T07:17:49.603 UTC",2.15196,"2022-05-12T07:17:49.603 UTC",0,"2022-05-12T07:17:49.603 UTC",2.15196,
"2022-05-12T07:17:51.210 UTC",2.36632,"2022-05-12T07:17:51.210 UTC",0,"2022-05-12T07:17:51.210 UTC",2.36632,
"2022-05-12T07:17:52.394 UTC",2.08105,"2022-05-12T07:17:52.394 UTC",0,"2022-05-12T07:17:52.394 UTC",2.08105,
"2022-05-12T07:17:54.303 UTC",0,"2022-05-12T07:17:54.303 UTC",0,"2022-05-12T07:17:54.303 UTC",0,
"2022-05-12T07:17:56.910 UTC",0,"2022-05-12T07:17:56.910 UTC",0,"2022-05-12T07:17:56.910 UTC",0,
"2022-05-12T07:17:58.725 UTC",0,"2022-05-12T07:17:58.725 UTC",0,"2022-05-12T07:17:58.725 UTC",0,
"2022-05-12T07:17:59.980 UTC",0,"2022-05-12T07:17:59.980 UTC",0,"2022-05-12T07:17:59.980 UTC",0,
"2022-05-12T07:18:01.162 UTC",0,"2022-05-12T07:18:01.162 UTC",2.21969,"2022-05-12T07:18:01.162 UTC",2.21969,
"2022-05-12T07:18:02.772 UTC",0,"2022-05-12T07:18:02.772 UTC",13.96131,"2022-05-12T07:18:02.772 UTC",13.96131,
"2022-05-12T07:18:04.074 UTC",0,"2022-05-12T07:18:04.074 UTC",21.63651,"2022-05-12T07:18:04.074 UTC",21.63651,
"2022-05-12T07:18:05.326 UTC",0,"2022-05-12T07:18:05.326 UTC",22.60235,"2022-05-12T07:18:05.326 UTC",22.60235,
"2022-05-12T07:18:06.563 UTC",0,"2022-05-12T07:18:06.563 UTC",22.12579,"2022-05-12T07:18:06.563 UTC",22.12579,
"2022-05-12T07:18:08.325 UTC",0,"2022-05-12T07:18:08.325 UTC",22.5522,"2022-05-12T07:18:08.325 UTC",22.5522,
"2022-05-12T07:18:09.474 UTC",0,"2022-05-12T07:18:09.474 UTC",24.32139,"2022-05-12T07:18:09.474 UTC",24.32139,
"2022-05-12T07:18:10.749 UTC",0,"2022-05-12T07:18:10.749 UTC",24.90107,"2022-05-12T07:18:10.749 UTC",24.90107,
"2022-05-12T07:18:11.901 UTC",0,"2022-05-12T07:18:11.901 UTC",23.76428,"2022-05-12T07:18:11.901 UTC",23.76428,
"2022-05-12T07:18:13.575 UTC",0,"2022-05-12T07:18:13.575 UTC",22.13324,"2022-05-12T07:18:13.575 UTC",22.13324,
"2022-05-12T07:18:14.765 UTC",0,"2022-05-12T07:18:14.765 UTC",22.0289,"2022-05-12T07:18:14.765 UTC",22.0289,
"2022-05-12T07:18:15.992 UTC",0,"2022-05-12T07:18:15.992 UTC",25.11491,"2022-05-12T07:18:15.992 UTC",25.11491,
"2022-05-12T07:18:18.230 UTC",0,"2022-05-12T07:18:18.230 UTC",23.79866,"2022-05-12T07:18:18.230 UTC",23.79866,
"2022-05-12T07:18:20.457 UTC",0,"2022-05-12T07:18:20.457 UTC",0,"2022-05-12T07:18:20.457 UTC",0,
"2022-05-12T07:18:21.744 UTC",4.77877,"2022-05-12T07:18:21.744 UTC",0,"2022-05-12T07:18:21.744 UTC",4.77877,
"2022-05-12T07:18:23.114 UTC",12.79448,"2022-05-12T07:18:23.114 UTC",0,"2022-05-12T07:18:23.114 UTC",12.79448,
"2022-05-12T07:18:24.919 UTC",12.95816,"2022-05-12T07:18:24.919 UTC",0,"2022-05-12T07:18:24.919 UTC",12.95816,
"2022-05-12T07:18:26.177 UTC",11.88721,"2022-05-12T07:18:26.177 UTC",0,"2022-05-12T07:18:26.177 UTC",11.88721,
"2022-05-12T07:18:27.431 UTC",11.51668,"2022-05-12T07:18:27.431 UTC",0,"2022-05-12T07:18:27.431 UTC",11.51668,
"2022-05-12T07:18:28.616 UTC",12.18007,"2022-05-12T07:18:28.616 UTC",0,"2022-05-12T07:18:28.616 UTC",12.18007,
"2022-05-12T07:18:30.193 UTC",13.00868,"2022-05-12T07:18:30.193 UTC",0,"2022-05-12T07:18:30.193 UTC",13.00868,
"2022-05-12T07:18:31.408 UTC",14.565,"2022-05-12T07:18:31.408 UTC",0,"2022-05-12T07:18:31.408 UTC",14.565,
"2022-05-12T07:18:32.577 UTC",14.93047,"2022-05-12T07:18:32.577 UTC",0,"2022-05-12T07:18:32.577 UTC",14.93047,
"2022-05-12T07:18:33.799 UTC",15.25693,"2022-05-12T07:18:33.799 UTC",0,"2022-05-12T07:18:33.799 UTC",15.25693,
"2022-05-12T07:18:35.476 UTC",15.11938,"2022-05-12T07:18:35.476 UTC",0,"2022-05-12T07:18:35.476 UTC",15.11938,
"2022-05-12T07:18:36.718 UTC",14.31669,"2022-05-12T07:18:36.718 UTC",0,"2022-05-12T07:18:36.718 UTC",14.31669,
"2022-05-12T07:18:37.903 UTC",14.35179,"2022-05-12T07:18:37.903 UTC",0,"2022-05-12T07:18:37.903 UTC",14.35179,
"2022-05-12T07:18:39.141 UTC",14.50697,"2022-05-12T07:18:39.141 UTC",0,"2022-05-12T07:18:39.141 UTC",14.50697,
"2022-05-12T07:18:41.682 UTC",14.48429,"2022-05-12T07:18:41.682 UTC",0,"2022-05-12T07:18:41.682 UTC",14.48429,
"2022-05-12T07:18:42.912 UTC",0,"2022-05-12T07:18:42.912 UTC",0,"2022-05-12T07:18:42.912 UTC",0,
"2022-05-12T07:18:44.125 UTC",0,"2022-05-12T07:18:44.125 UTC",29.79633,"2022-05-12T07:18:44.125 UTC",29.79633,
"2022-05-12T07:18:45.281 UTC",0,"2022-05-12T07:18:45.281 UTC",45.49662,"2022-05-12T07:18:45.281 UTC",45.49662,
"2022-05-12T07:18:46.580 UTC",0,"2022-05-12T07:18:46.580 UTC",45.75618,"2022-05-12T07:18:46.580 UTC",45.75618,
"2022-05-12T07:18:47.746 UTC",0,"2022-05-12T07:18:47.746 UTC",48.86951,"2022-05-12T07:18:47.746 UTC",48.86951,
"2022-05-12T07:18:48.937 UTC",0,"2022-05-12T07:18:48.937 UTC",47.18015,"2022-05-12T07:18:48.937 UTC",47.18015,
"2022-05-12T07:18:50.123 UTC",0,"2022-05-12T07:18:50.123 UTC",49.85029,"2022-05-12T07:18:50.123 UTC",49.85029,
"2022-05-12T07:18:51.773 UTC",0,"2022-05-12T07:18:51.773 UTC",49.02336,"2022-05-12T07:18:51.773 UTC",49.02336,
"2022-05-12T07:18:52.966 UTC",0,"2022-05-12T07:18:52.966 UTC",48.44039,"2022-05-12T07:18:52.966 UTC",48.44039,
"2022-05-12T07:18:54.124 UTC",0,"2022-05-12T07:18:54.124 UTC",48.59794,"2022-05-12T07:18:54.124 UTC",48.59794,
"2022-05-12T07:18:55.274 UTC",0,"2022-05-12T07:18:55.274 UTC",50.9982,"2022-05-12T07:18:55.274 UTC",50.9982,
"2022-05-12T07:18:57.027 UTC",0,"2022-05-12T07:18:57.027 UTC",51.3547,"2022-05-12T07:18:57.027 UTC",51.3547,
"2022-05-12T07:18:58.182 UTC",0,"2022-05-12T07:18:58.182 UTC",49.17049,"2022-05-12T07:18:58.182 UTC",49.17049,
"2022-05-12T07:18:59.337 UTC",0,"2022-05-12T07:18:59.337 UTC",50.13805,"2022-05-12T07:18:59.337 UTC",50.13805,
"2022-05-12T07:19:02.294 UTC",0,"2022-05-12T07:19:02.294 UTC",53.25393,"2022-05-12T07:19:02.294 UTC",53.25393,
"2022-05-12T07:19:03.493 UTC",0.01619,"2022-05-12T07:19:03.493 UTC",0,"2022-05-12T07:19:03.493 UTC",0.01619,
"2022-05-12T07:19:04.650 UTC",0.01619,"2022-05-12T07:19:04.650 UTC",0,"2022-05-12T07:19:04.650 UTC",0.01619,
"2022-05-12T07:19:05.987 UTC",26.97134,"2022-05-12T07:19:05.987 UTC",0,"2022-05-12T07:19:05.987 UTC",26.97134,
"2022-05-12T07:19:08.184 UTC",28.62719,"2022-05-12T07:19:08.184 UTC",0,"2022-05-12T07:19:08.184 UTC",28.62719,
"2022-05-12T07:19:09.356 UTC",29.22492,"2022-05-12T07:19:09.356 UTC",0,"2022-05-12T07:19:09.356 UTC",29.22492,
"2022-05-12T07:19:10.515 UTC",30.177,"2022-05-12T07:19:10.515 UTC",0,"2022-05-12T07:19:10.515 UTC",30.177,
"2022-05-12T07:19:11.781 UTC",31.69742,"2022-05-12T07:19:11.781 UTC",0,"2022-05-12T07:19:11.781 UTC",31.69742,
"2022-05-12T07:19:13.564 UTC",31.62389,"2022-05-12T07:19:13.564 UTC",0,"2022-05-12T07:19:13.564 UTC",31.62389,
"2022-05-12T07:19:14.782 UTC",31.24545,"2022-05-12T07:19:14.782 UTC",0,"2022-05-12T07:19:14.782 UTC",31.24545,
"2022-05-12T07:19:16.025 UTC",31.05684,"2022-05-12T07:19:16.025 UTC",0,"2022-05-12T07:19:16.025 UTC",31.05684,
"2022-05-12T07:19:17.241 UTC",31.41486,"2022-05-12T07:19:17.241 UTC",0,"2022-05-12T07:19:17.241 UTC",31.41486,
"2022-05-12T07:19:18.937 UTC",31.57066,"2022-05-12T07:19:18.937 UTC",0,"2022-05-12T07:19:18.937 UTC",31.57066,
"2022-05-12T07:19:20.077 UTC",31.36298,"2022-05-12T07:19:20.077 UTC",0,"2022-05-12T07:19:20.077 UTC",31.36298,
"2022-05-12T07:19:21.254 UTC",31.04661,"2022-05-12T07:19:21.254 UTC",0,"2022-05-12T07:19:21.254 UTC",31.04661,
"2022-05-12T07:19:23.988 UTC",31.07285,"2022-05-12T07:19:23.988 UTC",0,"2022-05-12T07:19:23.988 UTC",31.07285,
"2022-05-12T07:19:25.229 UTC",0,"2022-05-12T07:19:25.229 UTC",0,"2022-05-12T07:19:25.229 UTC",0,
"2022-05-12T07:19:26.419 UTC",0,"2022-05-12T07:19:26.419 UTC",14.82361,"2022-05-12T07:19:26.419 UTC",14.82361,
"2022-05-12T07:19:27.597 UTC",0,"2022-05-12T07:19:27.597 UTC",35.03669,"2022-05-12T07:19:27.597 UTC",35.03669,
"2022-05-12T07:19:29.670 UTC",0,"2022-05-12T07:19:29.670 UTC",36.45158,"2022-05-12T07:19:29.670 UTC",36.45158,
"2022-05-12T07:19:30.824 UTC",0,"2022-05-12T07:19:30.824 UTC",43.59886,"2022-05-12T07:19:30.824 UTC",43.59886,
"2022-05-12T07:19:32.040 UTC",0,"2022-05-12T07:19:32.040 UTC",42.82759,"2022-05-12T07:19:32.040 UTC",42.82759,
"2022-05-12T07:19:33.283 UTC",0,"2022-05-12T07:19:33.283 UTC",45.96299,"2022-05-12T07:19:33.283 UTC",45.96299,
"2022-05-12T07:19:34.806 UTC",0,"2022-05-12T07:19:34.806 UTC",45.96299,"2022-05-12T07:19:34.806 UTC",45.96299,
"2022-05-12T07:19:35.958 UTC",0,"2022-05-12T07:19:35.958 UTC",44.98205,"2022-05-12T07:19:35.958 UTC",44.98205,
"2022-05-12T07:19:37.262 UTC",0,"2022-05-12T07:19:37.262 UTC",45.39177,"2022-05-12T07:19:37.262 UTC",45.39177,
"2022-05-12T07:19:38.494 UTC",0,"2022-05-12T07:19:38.494 UTC",49.68597,"2022-05-12T07:19:38.494 UTC",49.68597,
"2022-05-12T07:19:40.130 UTC",0,"2022-05-12T07:19:40.130 UTC",43.26031,"2022-05-12T07:19:40.130 UTC",43.26031,
"2022-05-12T07:19:41.286 UTC",0,"2022-05-12T07:19:41.286 UTC",41.21929,"2022-05-12T07:19:41.286 UTC",41.21929,
"2022-05-12T07:19:42.449 UTC",0,"2022-05-12T07:19:42.449 UTC",47.77719,"2022-05-12T07:19:42.449 UTC",47.77719,
"2022-05-12T07:19:43.784 UTC",0,"2022-05-12T07:19:43.784 UTC",0,"2022-05-12T07:19:43.784 UTC",0,
"2022-05-12T07:19:45.851 UTC",0,"2022-05-12T07:19:45.851 UTC",0,"2022-05-12T07:19:45.851 UTC",0,
"2022-05-12T07:19:47.213 UTC",27.88645,"2022-05-12T07:19:47.213 UTC",0,"2022-05-12T07:19:47.213 UTC",27.88645,
"2022-05-12T07:19:48.368 UTC",28.52345,"2022-05-12T07:19:48.368 UTC",0,"2022-05-12T07:19:48.368 UTC",28.52345,
"2022-05-12T07:19:49.508 UTC",27.09349,"2022-05-12T07:19:49.508 UTC",0,"2022-05-12T07:19:49.508 UTC",27.09349,
"2022-05-12T07:19:51.258 UTC",27.60149,"2022-05-12T07:19:51.258 UTC",0,"2022-05-12T07:19:51.258 UTC",27.60149,
"2022-05-12T07:19:52.417 UTC",30.00314,"2022-05-12T07:19:52.417 UTC",0,"2022-05-12T07:19:52.417 UTC",30.00314,
"2022-05-12T07:19:53.571 UTC",27.60657,"2022-05-12T07:19:53.571 UTC",0,"2022-05-12T07:19:53.571 UTC",27.60657,
"2022-05-12T07:19:54.757 UTC",25.43025,"2022-05-12T07:19:54.757 UTC",0,"2022-05-12T07:19:54.757 UTC",25.43025,
"2022-05-12T07:19:56.538 UTC",24.75214,"2022-05-12T07:19:56.538 UTC",0,"2022-05-12T07:19:56.538 UTC",24.75214,
"2022-05-12T07:19:57.831 UTC",24.74717,"2022-05-12T07:19:57.831 UTC",0,"2022-05-12T07:19:57.831 UTC",24.74717,
"2022-05-12T07:19:59.022 UTC",28.10833,"2022-05-12T07:19:59.022 UTC",0,"2022-05-12T07:19:59.022 UTC",28.10833,
"2022-05-12T07:20:00.212 UTC",30.71546,"2022-05-12T07:20:00.212 UTC",0,"2022-05-12T07:20:00.212 UTC",30.71546,
"2022-05-12T07:20:01.998 UTC",31.45677,"2022-05-12T07:20:01.998 UTC",0,"2022-05-12T07:20:01.998 UTC",31.45677,
"2022-05-12T07:20:03.205 UTC",30.76573,"2022-05-12T07:20:03.205 UTC",0,"2022-05-12T07:20:03.205 UTC",30.76573,
